date,num_sessions
2019-11-17,360991
2019-11-16,363013
2019-10-31,3993
2019-11-26,109314
2019-11-24,104519
2019-11-30,110593
2019-11-06,113402
2019-11-10,126693
2019-11-14,208453
2019-11-03,105706
2019-11-21,113467
2019-11-02,102116
2019-11-28,111512
2019-11-11,132532
2019-11-04,119203
2019-11-15,313045
2019-11-23,102621
2019-11-01,96746
2019-11-13,131855
2019-11-12,129964
2019-11-08,127851
2019-11-18,136018
2019-11-20,115550
2019-11-25,107255
2019-11-09,121318
2019-11-27,110581
2019-11-19,117159
2019-11-05,112998
2019-11-07,116977
2019-11-29,123830
2019-11-22,104095
